Symbol,Company Name,Last Price,Change,% Change,Volume
AMGN,Amgen Inc.,222.93,-0.01,0.00%,955401
DIS,The Walt Disney Company,173.73,0.18,0.10%,2599598
NKE,"NIKE, Inc.",141.6,-0.16,-0.11%,1808813
GS,"The Goldman Sachs Group, Inc.",256.16,-0.29,-0.11%,955039
WMT,Walmart Inc.,143.5,0.28,0.20%,2996387
VZ,Verizon Communications Inc.,58.84,-0.12,-0.20%,7680203
HON,Honeywell International Inc.,209.53,-0.46,-0.22%,749187
MCD,McDonald's Corporation,211.39,-0.63,-0.30%,1034842
MMM,3M Company,174.52,0.53,0.30%,574455
AXP,American Express Company,117.35,0.4,0.34%,674115
JNJ,Johnson & Johnson,152.47,0.53,0.35%,2085537
CSCO,"Cisco Systems, Inc.",44.54,0.17,0.37%,5720538
TRV,"The Travelers Companies, Inc.",138.49,0.54,0.39%,411316
HD,"The Home Depot, Inc.",270.92,1.11,0.41%,1045294
CVX,Chevron Corporation,85.33,-0.36,-0.42%,3316222
JPM,JPMorgan Chase & Co.,124.52,-0.55,-0.44%,4123149
MRK,"Merck & Co., Inc.",80.14,0.38,0.48%,2797104
WBA,"Walgreens Boots Alliance, Inc.",39.62,-0.25,-0.63%,2677978
IBM,International Business Machines Corporation,124.69,0.79,0.64%,1742210
CAT,Caterpillar Inc.,179.56,1.14,0.64%,579230
KO,The Coca-Cola Company,53.44,0.36,0.68%,3219733
CRM,"salesforce.com, inc.",225.78,-1.65,-0.73%,6093298
AAPL,Apple Inc.,131.97,1.01,0.77%,54930064
MSFT,Microsoft Corporation,222.75,1.73,0.78%,10550572
UNH,UnitedHealth Group Incorporated,340.79,3.2,0.95%,1318669
PG,The Procter & Gamble Company,137.72,1.38,1.01%,2564315
INTC,Intel Corporation,47.07,0.5,1.07%,11865642
BA,The Boeing Company,217.15,-2.54,-1.16%,6337957
V,Visa Inc.,208.7,3.4,1.66%,3335950
