date,sigma,correl,corr.th,corr.ex,port.var,index.omega,index.alpha,index.beta,index.sigma,index.residual,index.return,index.var,X1.omega,X1.alpha,X1.beta,X1.sigma,X1.residual,X1.return,X1.var,X2.omega,X2.alpha,X2.beta,X2.sigma,X2.residual,X2.return,X2.var,X3.omega,X3.alpha,X3.beta,X3.sigma
251,1%,30%,NA,NA,NA,0.0000054,0.0085492,0.8224240,0.0056209,-0.3932166,-0.0022102,NA,0.0000129,0.0000000,0.8795026,0.0103645,0.0174529,0.0001809,NA,0.0000258,0.0000000,0.7902252,0.0110817,0.6215280,0.0068876,NA,0.0000128,0.0000000,0.8596561,0.0095457
252,1%,30%,NA,NA,NA,0.0000055,0.0097827,0.8176736,0.0055866,0.2605111,0.0014554,NA,0.0000139,0.0000000,0.8703298,0.0103543,0.5444045,0.0056369,NA,0.0000004,0.0000000,0.9970150,0.0112528,-0.7534930,-0.0084789,NA,0.0000138,0.0000000,0.8487184,0.0095355
253,1%,30%,NA,NA,NA,0.0000054,0.0113604,0.8175939,0.0055464,0.2536310,0.0014067,NA,0.0000152,0.0000000,0.8582748,0.0103495,0.7163700,0.0074141,NA,0.0000267,0.0000000,0.7818008,0.0110664,-0.5536012,-0.0061263,NA,0.0000141,0.0000000,0.8471196,0.0096119
254,1%,30%,NA,NA,NA,0.0000053,0.0136177,0.8161095,0.0055013,-0.2510387,-0.0013810,NA,0.0000164,0.0000000,0.8464501,0.0103330,0.1233724,0.0012748,NA,0.0000276,0.0000000,0.7737208,0.0110521,0.4421266,0.0048864,NA,0.0000164,0.0000000,0.8223035,0.0095994
255,1%,30%,NA,NA,NA,0.0000054,0.0157776,0.8103238,0.0054581,0.4852498,0.0026486,NA,0.0000176,0.0000000,0.8348444,0.0103286,0.7763427,0.0080185,NA,0.0000209,0.0000000,0.8288095,0.0110444,0.8988052,0.0099268,NA,0.0000228,0.0000000,0.7519999,0.0095881
256,1%,30%,NA,NA,NA,0.0000055,0.0130349,0.8128324,0.0055051,1.8769264,0.0103328,NA,0.0000179,0.0000000,0.8325926,0.0103376,1.1707328,0.0121026,NA,0.0000224,0.0000000,0.8159321,0.0110209,-0.3890792,-0.0042880,NA,0.0000232,0.0000000,0.7513619,0.0096593
257,1%,30%,NA,NA,NA,0.0000058,0.0121547,0.8057289,0.0056394,1.5462802,0.0087201,NA,0.0000199,0.0000000,0.8133696,0.0103269,0.4299951,0.0044405,NA,0.0000235,0.0000000,0.8055908,0.0109980,0.6593004,0.0072510,NA,0.0000218,0.0000000,0.7689521,0.0097232
258,1%,30%,NA,NA,NA,0.0000057,0.0102531,0.8118855,0.0056780,0.5828291,0.0033093,NA,0.0000220,0.0000000,0.7933822,0.0103253,-0.8068850,-0.0083314,NA,0.0000292,0.0000000,0.7574773,0.0109797,0.5485119,0.0060225,NA,0.0000233,0.0000000,0.7523848,0.0097037
259,1%,30%,NA,NA,NA,0.0000056,0.0094127,0.8144163,0.0056518,0.8059669,0.0045552,NA,0.0000244,0.0000000,0.7723315,0.0103571,1.4936341,0.0154697,NA,0.0000322,0.0000000,0.7318989,0.0109573,0.4774257,0.0052313,NA,0.0000333,0.0000000,0.6449990,0.0096856
260,1%,30%,NA,NA,NA,0.0000055,0.0088433,0.8172646,0.0056397,-0.7789226,-0.0043929,NA,0.0000253,0.0000000,0.7669831,0.0104248,-2.0174929,-0.0210320,NA,0.0000474,0.0000000,0.6024814,0.0109210,0.4226965,0.0046163,NA,0.0000445,0.0000000,0.5227940,0.0096595
